longitude,latitude,class
7.02407,30.47231,1
0.462,27.80059,1
2.48058,27.08728,1
9.00776,28.76743,1
7.86205,27.91985,1
7.69665,30.20616,1
7.69202,30.20497,1
3.20148,32.70912,1
3.19532,32.70787,1
2.611,26.87716,1
7.02999,30.46991,1
7.02493,30.46961,1
8.82993,27.41084,1
9.14828,27.75543,1
3.32182,33.18524,1
-0.74016,35.21134,1
9.4938,28.12995,1
6.0519,31.3592,1
6.78445,31.1895,1
5.65752,31.20375,1
7.02142,30.47123,1
7.02667,30.47008,1
1.89757,30.91199,1
4.99716,31.94243,1
0.46247,27.80056,1
2.48251,27.0882,1
7.8593,27.9211,1
7.86459,27.92256,1
2.4869,27.08868,1
3.3237,33.1838,1
4.56631,36.38615,1
2.31416,35.91054,1
6.46817,32.13767,1
6.47248,32.13692,1
6.46736,32.1343,1
4.74401,32.17476,1
6.02929,31.67721,1
6.97651,32.35517,1
6.98181,32.3578,1
5.00092,31.94192,1
7.02517,30.47164,1
6.05076,31.35923,1
6.78662,31.19078,1
6.78578,31.18734,1
5.65659,31.20447,1
7.8606,27.9239,1
2.4851,27.08679,1
2.48573,27.09008,1
7.85969,27.92013,1
9.49636,28.12669,1
5.77618,19.61942,1
6.68491,30.20961,1
2.48506,27.08813,1
7.85995,27.91945,1
6.84788,29.78786,1
6.46966,32.13509,1
4.99935,31.93933,1
3.22761,33.01892,1
6.78683,31.18533,1
8.26784,31.44963,1
-1.20909,34.95646,1
-1.29791,34.9435,1
7.0271,30.4734,1
7.02299,30.47399,1
-0.34761,33.47396,1
3.22537,33.01898,1
6.98266,32.35971,1
6.9777,32.35693,1
6.46886,32.1373,1
5.00067,31.94058,1
6.03145,31.67638,1
5.80581,31.63052,1
6.05229,31.35937,1
6.78874,31.19033,1
6.78809,31.18695,1
6.78386,31.18756,1
2.48214,27.08955,1
8.51509,26.51965,1
8.51576,26.52296,1
0.46045,27.80144,1
7.85905,27.92019,1
7.85971,27.92348,1
9.49351,28.12701,1
9.46064,24.48807,1
6.8465,29.79034,1
7.02642,30.47279,1
6.99217,30.00909,1
2.48822,27.08666,1
8.07985,31.02959,1
6.78897,31.18701,1
4.99988,31.9389,1
6.46971,32.13423,1
4.92146,36.40884,1
2.87478,36.60128,1
-0.20288,35.50283,1
-0.20396,35.50445,1
7.02563,30.47226,1
6.78452,31.188,1
6.78972,31.19175,1
6.78513,31.19223,1
6.05098,31.36212,1
6.03175,31.67994,1
5.92889,31.77412,1
4.9956,31.94236,1
6.46751,32.13553,1
6.98146,32.35839,1
6.97678,32.35889,1
6.97378,32.35819,1
6.98375,32.36152,1
7.86077,27.92386,1
9.49612,28.12722,1
2.48289,27.09246,1
-0.25753,35.77327,1
4.99936,31.94059,1
4.99702,31.93802,1
1.40985,28.58913,1
1.40394,28.59073,1
2.48128,27.08825,1
2.48683,27.08829,1
7.02376,30.47213,1
7.02818,30.47306,1
7.02656,30.47184,1
7.5274,30.18771,1
7.73467,30.06467,1
6.84834,29.78748,1
6.78998,31.18914,1
6.78552,31.18822,1
7.02754,32.06675,1
6.46908,32.13656,1
6.98294,32.3583,1
5.00128,31.94097,1
8.54329,36.80442,1
6.43092,36.9475,1
-0.5212,28.21518,1
1.4109,28.58953,1
3.17437,32.55381,1
6.94368,35.32933,1
6.98044,32.35997,1
3.30963,33.13372,1
6.97596,32.36026,1
6.4689,32.13553,1
6.4641,32.13581,1
4.99507,31.9453,1
6.20377,31.84794,1
6.05026,31.80337,1
5.9592,31.70014,1
6.02822,31.67807,1
5.82692,31.62113,1
6.05079,31.36149,1
6.78647,31.19158,1
6.78204,31.19187,1
7.8583,27.92596,1
6.48533,29.26986,1
7.02047,30.47612,1
7.02463,30.47581,1
2.48376,27.0908,1
2.47814,27.09171,1
2.48546,27.09131,1
2.47644,27.09115,1
-1.62101,34.91662,1
6.97889,32.36008,1
6.97104,32.35566,1
6.97651,32.35416,1
6.46691,32.13331,1
6.46911,32.13914,1
5.08655,35.82071,1
7.85478,27.92252,1
7.01924,30.47321,1
7.02347,30.47308,1
6.05145,31.36182,1
6.78924,31.18864,1
6.78359,31.19018,1
